country,year,remittances_usd,remittances_share_of_gdp_pct,net_aid_usd,net_aid_share_of_gni_pct,remittances_source,aid_source
Comoros,1997,,,30202299.0,8.32,"no value: never compiled at source, see the Comoros profile","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1998,26999122.0,7.42,40622299.0,11.17,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1999,28235595.0,7.59,22090300.0,5.94,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2000,23805233.0,7.01,19306400.0,5.68,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2001,26269881.0,7.05,27667999.0,7.41,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2002,27150508.0,6.35,27580000.0,6.47,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2003,32042448.0,5.86,24606667.0,4.51,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2004,48705002.0,7.82,25881332.0,4.17,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2005,54055726.0,8.25,23141333.0,3.54,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2006,63197513.0,9.18,32004734.0,4.66,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,2007,74045487.0,9.31,45047401.0,5.65,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
